user_id,age,occupation,gender
61417,25,other or not specified,M
17361,31,sales/marketing,F
44447,33,college/grad student,M
54407,23,scientist,M
63155,54,executive/managerial,M
39831,31,college/grad student,F
19440,28,sales/marketing,M
4885,32,executive/managerial,M
38781,33,scientist,M
26422,30,college/grad student,F
7705,54,academic/educator,F
45001,18,homemaker,F
34484,28,self-employed,M
62133,26,sales/marketing,M
2696,28,sales/marketing,M
3280,34,executive/managerial,M
40594,27,college/grad student,M
51140,29,college/grad student,F
5857,28,other or not specified,M
42929,36,sales/marketing,M
7107,28,sales/marketing,M
58362,28,self-employed,F
40059,34,executive/managerial,M
2603,26,college/grad student,M
57852,38,writer,M
15120,31,self-employed,M
43281,29,technician/engineer,M
56881,39,homemaker,F
41419,33,academic/educator,F
20465,27,college/grad student,M
29482,29,college/grad student,M
49601,31,other or not specified,M
2415,28,tradesman/craftsman,M
38152,26,sales/marketing,M
37442,33,college/grad student,M
58334,27,college/grad student,M
23234,33,self-employed,M
32540,33,sales/marketing,M
18278,29,other or not specified,M
47420,29,sales/marketing,F
62798,29,self-employed,M
39569,29,homemaker,M
29721,28,executive/managerial,M
45708,29,scientist,M
43257,27,sales/marketing,M
44713,27,college/grad student,F
22306,23,scientist,M
8568,28,sales/marketing,M
2838,28,academic/educator,F
63071,37,clerical/admin,M
7748,30,executive/managerial,M
57780,33,self-employed,M
16010,30,college/grad student,M
22804,29,executive/managerial,M
56876,32,college/grad student,M
23322,18,K-12 student,M
15330,30,sales/marketing,M
24078,26,self-employed,M
37127,27,self-employed,F
63147,51,artist,M
6727,33,sales/marketing,M
42135,28,college/grad student,M
27518,28,college/grad student,M
46606,13,K-12 student,M
21646,56,self-employed,F
1011,26,sales/marketing,F
1780,33,scientist,M
28948,31,college/grad student,M
46985,30,self-employed,M
9067,18,college/grad student,F
24783,33,self-employed,F
60848,19,sales/marketing,M
23330,26,college/grad student,M
58593,27,executive/managerial,M
30275,27,college/grad student,M
43422,43,scientist,M
25350,29,K-12 student,M
46748,30,executive/managerial,M
45879,31,sales/marketing,M
2878,31,college/grad student,M
28950,28,sales/marketing,M
13810,26,executive/managerial,M
21037,29,homemaker,M
65352,27,homemaker,F
58597,34,college/grad student,M
52216,24,scientist,M
1608,25,sales/marketing,M
55546,27,executive/managerial,M
32287,29,sales/marketing,M
27897,28,scientist,F
34300,50,executive/managerial,M
31605,30,college/grad student,F
23582,33,executive/managerial,M
18081,26,technician/engineer,M
23158,32,self-employed,F
2431,31,doctor/health care,M
8837,29,customer service,M
29251,28,executive/managerial,M
26726,31,college/grad student,M
62410,31,sales/marketing,M
44923,25,retired,M
6464,34,college/grad student,M
38849,26,scientist,M
61315,29,other or not specified,M
30262,10,homemaker,F
64175,48,clerical/admin,M
52121,34,college/grad student,M
51677,33,college/grad student,M
26770,28,sales/marketing,M
31245,44,other or not specified,M
13076,22,technician/engineer,M
24293,25,scientist,M
15251,61,technician/engineer,M
19490,31,college/grad student,M
45117,32,college/grad student,M
9059,59,artist,M
9524,28,college/grad student,M
16110,27,college/grad student,M
21621,25,college/grad student,M
62896,34,college/grad student,F
9424,18,college/grad student,M
59307,23,college/grad student,M
59323,33,college/grad student,F
15110,23,sales/marketing,M
45715,33,college/grad student,M
45744,33,college/grad student,M
40750,29,college/grad student,M
27115,27,executive/managerial,M
63962,34,executive/managerial,M
39033,25,other or not specified,F
53505,34,college/grad student,M
16850,31,college/grad student,M
15838,47,sales/marketing,M
3128,31,other or not specified,M
2022,33,scientist,M
61102,30,executive/managerial,M
23195,32,sales/marketing,M
7154,27,sales/marketing,M
24643,31,sales/marketing,M
4821,33,executive/managerial,M
20259,26,college/grad student,M
30942,29,executive/managerial,M
65619,31,executive/managerial,M
44755,65,academic/educator,F
31457,30,scientist,F
21657,30,executive/managerial,M
63173,31,executive/managerial,M
48445,34,scientist,M
50742,25,sales/marketing,M
60879,29,executive/managerial,M
30699,25,scientist,M
63845,26,executive/managerial,M
53929,27,college/grad student,M
46935,29,college/grad student,F
38948,25,other or not specified,F
52952,29,executive/managerial,M
38343,31,sales/marketing,M
45366,27,executive/managerial,M
28857,27,sales/marketing,M
13430,30,sales/marketing,M
25721,29,self-employed,M
20699,65,academic/educator,M
837,28,executive/managerial,M
54947,46,technician/engineer,F
21121,19,sales/marketing,M
57414,30,college/grad student,M
32125,32,executive/managerial,F
42244,30,customer service,M
63647,32,self-employed,M
25606,28,executive/managerial,M
25231,31,sales/marketing,F
3928,24,sales/marketing,M
45275,31,college/grad student,F
37548,34,college/grad student,M
53196,28,other or not specified,M
54465,44,sales/marketing,M
25117,25,sales/marketing,F
16201,27,sales/marketing,M
7085,34,executive/managerial,M
8309,33,scientist,M
37690,34,clerical/admin,M
59770,25,college/grad student,M
7882,27,artist,M
17428,23,sales/marketing,M
63603,28,executive/managerial,M
50583,18,scientist,M
46199,31,academic/educator,M
39029,58,self-employed,M
11600,32,other or not specified,M
14462,31,artist,M
14293,41,homemaker,M
2665,31,college/grad student,M
15788,18,sales/marketing,M
45958,32,homemaker,F
53395,22,scientist,M
39760,9,sales/marketing,M
5169,32,college/grad student,M
43550,54,other or not specified,M
64960,33,technician/engineer,M
27393,31,homemaker,M
5681,34,executive/managerial,M
25318,29,executive/managerial,M
22472,62,retired,M
28632,26,scientist,M
35271,30,executive/managerial,M
57835,30,college/grad student,M
39474,44,academic/educator,M
11017,33,scientist,M
54456,19,sales/marketing,M
4837,34,college/grad student,F
3530,18,sales/marketing,M
30790,28,sales/marketing,F
28264,29,college/grad student,M
62714,21,sales/marketing,M
15674,29,scientist,M
11094,27,sales/marketing,F
2721,27,executive/managerial,M
14708,25,self-employed,M
50330,28,executive/managerial,M
21643,32,scientist,F
40916,26,college/grad student,M
4489,27,scientist,M
45404,34,other or not specified,M
32628,34,college/grad student,M
39061,18,K-12 student,M
14008,29,executive/managerial,M
58508,25,college/grad student,M
12110,28,sales/marketing,M
15731,28,college/grad student,M
16923,32,college/grad student,M
38361,27,executive/managerial,M
17188,29,executive/managerial,M
5385,21,other or not specified,M
53984,29,sales/marketing,M
63229,26,sales/marketing,M
53480,33,college/grad student,M
63911,28,college/grad student,M
31481,34,scientist,M
19618,26,college/grad student,M
64702,29,executive/managerial,M
63056,32,executive/managerial,M
41350,27,scientist,M
45563,25,sales/marketing,M
23025,26,executive/managerial,M
17896,29,college/grad student,F
43438,28,college/grad student,M
11344,27,self-employed,F
40050,32,executive/managerial,M
16777,25,executive/managerial,M
46440,34,doctor/health care,M
1022,29,college/grad student,M
16956,23,sales/marketing,M
29985,29,executive/managerial,M
19668,27,executive/managerial,M
41300,18,executive/managerial,M
44941,25,technician/engineer,M
37992,25,other or not specified,M
3590,32,academic/educator,M
26676,25,executive/managerial,M
52209,28,executive/managerial,M
49765,38,executive/managerial,F
5939,37,academic/educator,F
19701,25,scientist,M
24471,26,sales/marketing,M
29300,69,retired,F
29171,29,scientist,M
5372,27,scientist,M
17737,28,college/grad student,M
36567,26,academic/educator,M
25172,28,sales/marketing,M
52811,29,college/grad student,M
30672,29,college/grad student,M
21463,28,scientist,F
31301,30,college/grad student,M
14037,33,sales/marketing,M
50830,21,artist,F
22400,21,K-12 student,F
17795,26,sales/marketing,M
52011,25,self-employed,M
59228,55,academic/educator,F
19058,31,academic/educator,M
49647,32,other or not specified,M
7326,34,college/grad student,F
20546,26,college/grad student,M
54760,8,scientist,M
35263,32,self-employed,F
58723,29,other or not specified,M
16094,34,scientist,M
23863,29,executive/managerial,M
3932,49,executive/managerial,M
48985,26,self-employed,M
1717,25,college/grad student,M
58573,34,college/grad student,M
39846,32,college/grad student,M
42320,23,sales/marketing,M
63925,28,college/grad student,M
6779,26,other or not specified,F
16664,28,college/grad student,M
54695,21,sales/marketing,M
28255,32,executive/managerial,M
33647,21,scientist,M
17771,30,executive/managerial,M
12033,20,sales/marketing,M
13730,38,artist,M
65688,21,K-12 student,M
41796,34,retired,F
44434,27,executive/managerial,M
38315,32,scientist,M
32574,29,self-employed,F
28209,34,scientist,M
48067,33,college/grad student,F
42064,32,college/grad student,F
4635,28,scientist,M
15716,23,sales/marketing,M
2481,34,self-employed,M
41021,32,executive/managerial,M
35510,33,sales/marketing,M
10102,32,executive/managerial,M
42266,31,self-employed,M
3717,26,college/grad student,M
33986,28,executive/managerial,M
36836,28,college/grad student,M
20236,25,college/grad student,M
52181,27,other or not specified,M
41965,25,college/grad student,M
48119,32,college/grad student,M
61507,30,college/grad student,M
9447,33,college/grad student,F
52,38,executive/managerial,M
13615,26,executive/managerial,M
64378,30,artist,M
34502,30,sales/marketing,F
3748,18,sales/marketing,M
35124,28,K-12 student,M
30561,30,other or not specified,F
64202,25,academic/educator,F
45810,27,clerical/admin,M
10648,50,academic/educator,M
54895,25,technician/engineer,M
9761,34,scientist,M
47765,28,self-employed,F
40923,27,college/grad student,M
65524,31,executive/managerial,M
56046,34,college/grad student,M
60428,29,executive/managerial,F
8260,33,college/grad student,M
27779,34,artist,M
34082,27,other or not specified,M
26801,28,college/grad student,M
18587,29,other or not specified,M
33990,18,K-12 student,M
7738,33,sales/marketing,F
4305,9,K-12 student,M
22210,28,executive/managerial,M
57254,27,executive/managerial,M
31999,28,retired,F
61510,29,executive/managerial,F
27111,25,executive/managerial,M
61669,28,executive/managerial,M
15344,26,sales/marketing,F
8494,33,college/grad student,M
14146,30,self-employed,M
40958,33,technician/engineer,M
11767,23,sales/marketing,M
56886,27,self-employed,F
23583,34,college/grad student,M
51255,80,other or not specified,M
33120,33,other or not specified,M
3382,30,executive/managerial,M
9879,28,scientist,M
56064,27,artist,F
30801,33,homemaker,F
12141,29,college/grad student,M
8456,28,K-12 student,M
14852,26,artist,F
58827,30,executive/managerial,M
6504,35,other or not specified,F
40940,27,homemaker,M
39640,31,college/grad student,F
63879,27,scientist,M
39286,34,sales/marketing,M
29525,31,other or not specified,M
50952,34,scientist,M
65801,25,executive/managerial,M
26366,25,executive/managerial,M
51622,41,academic/educator,F
29981,31,self-employed,M
21832,28,executive/managerial,M
28068,20,other or not specified,F
51360,31,sales/marketing,M
49533,34,other or not specified,M
50924,26,college/grad student,M
15616,28,sales/marketing,M
1654,30,college/grad student,M
8227,28,college/grad student,F
4717,27,executive/managerial,M
50614,34,college/grad student,M
3746,34,artist,M
33055,32,self-employed,M
55214,19,college/grad student,M
53301,29,other or not specified,M
51666,29,scientist,M
35189,27,other or not specified,M
28258,31,executive/managerial,F
32815,25,college/grad student,M
30802,29,executive/managerial,M
5685,32,college/grad student,M
5247,29,scientist,M
42022,32,sales/marketing,M
55567,29,scientist,F
21590,32,sales/marketing,M
7199,30,academic/educator,M
11813,33,sales/marketing,M
6638,32,college/grad student,M
22501,27,sales/marketing,M
36011,28,scientist,M
17809,26,sales/marketing,M
12497,21,K-12 student,M
16320,25,college/grad student,F
51315,28,other or not specified,M
58024,24,college/grad student,M
54055,33,tradesman/craftsman,M
41189,34,sales/marketing,M
65302,25,college/grad student,F
21458,33,scientist,M
580,33,executive/managerial,M
40262,25,homemaker,F
17031,31,sales/marketing,M
56129,33,self-employed,M
24615,32,executive/managerial,M
53894,32,executive/managerial,M
27114,33,executive/managerial,M
5126,40,programmer,M
37092,27,college/grad student,F
24013,31,college/grad student,F
23635,31,clerical/admin,M
31597,32,programmer,M
28415,25,K-12 student,M
20808,25,technician/engineer,M
54220,31,college/grad student,M
1594,30,college/grad student,M
53737,29,self-employed,M
10616,39,sales/marketing,M
34516,31,executive/managerial,M
26146,28,self-employed,M
19914,31,self-employed,M
39311,19,college/grad student,M
48986,26,college/grad student,M
47464,30,college/grad student,M
34462,26,other or not specified,M
26603,18,college/grad student,M
3119,30,executive/managerial,M
6665,28,executive/managerial,M
53658,25,executive/managerial,M
47119,46,academic/educator,F
9541,33,college/grad student,M
53919,25,executive/managerial,M
40028,31,tradesman/craftsman,M
34467,27,sales/marketing,M
51103,28,executive/managerial,M
33489,27,sales/marketing,M
34901,29,artist,F
49243,32,clerical/admin,F
17684,26,college/grad student,M
58062,30,scientist,M
6277,28,college/grad student,M
50953,26,programmer,M
28211,26,programmer,M
10704,18,sales/marketing,M
4295,25,sales/marketing,M
11030,29,college/grad student,M
2439,26,college/grad student,F
25990,55,executive/managerial,M
622,28,academic/educator,M
56173,29,sales/marketing,M
2202,27,sales/marketing,M
504,34,sales/marketing,M
56526,30,college/grad student,M
23485,27,college/grad student,M
51824,23,executive/managerial,M
63096,26,college/grad student,M
5018,33,homemaker,F
45227,26,self-employed,M
6635,30,college/grad student,F
56255,31,executive/managerial,M
4785,18,scientist,F
20410,79,executive/managerial,M
36695,32,college/grad student,F
19129,31,college/grad student,M
27597,34,college/grad student,M
52484,27,college/grad student,M
6291,32,self-employed,M
42096,43,sales/marketing,M
18337,32,other or not specified,M
19845,29,college/grad student,M
2496,21,self-employed,F
36640,26,college/grad student,M
23143,65,executive/managerial,F
58007,23,other or not specified,M
36098,33,clerical/admin,F
39083,26,executive/managerial,M
2451,29,scientist,M
38367,33,self-employed,M
4451,32,college/grad student,M
41920,34,executive/managerial,M
60862,29,other or not specified,M
1377,28,doctor/health care,M
46860,26,scientist,M
49428,28,sales/marketing,M
44817,34,tradesman/craftsman,M
9036,31,executive/managerial,M
38964,32,self-employed,F
8579,27,scientist,M
47676,34,K-12 student,M
62060,26,college/grad student,M
13697,34,college/grad student,M
41590,19,sales/marketing,F
4713,27,executive/managerial,M
28708,28,self-employed,F
7182,20,K-12 student,M
28576,26,sales/marketing,M
39549,28,self-employed,M
32633,33,executive/managerial,M
42788,33,self-employed,M
61072,25,sales/marketing,M
59416,30,college/grad student,F
31654,33,sales/marketing,M
55761,26,technician/engineer,M
53413,32,sales/marketing,M
8972,36,self-employed,F
18487,30,executive/managerial,M
35779,32,executive/managerial,M
63168,28,executive/managerial,M
13280,26,college/grad student,M
7215,34,scientist,M
14500,26,executive/managerial,M
10882,28,sales/marketing,M
30625,18,college/grad student,M
15323,21,K-12 student,F
61632,30,college/grad student,M
7907,31,executive/managerial,M
1284,26,sales/marketing,M
50236,20,K-12 student,M
37436,25,college/grad student,M
11778,28,college/grad student,M
20471,29,academic/educator,F
65948,30,academic/educator,M
14722,33,college/grad student,M
52590,34,executive/managerial,M
40836,25,executive/managerial,M
43189,31,other or not specified,M
42192,32,self-employed,M
22013,20,K-12 student,M
28573,32,executive/managerial,F
3887,34,college/grad student,M
24470,29,other or not specified,M
50847,21,K-12 student,M
2932,32,other or not specified,M
50354,25,K-12 student,F
18504,27,lawyer,M
29518,25,executive/managerial,F
60599,25,academic/educator,F
501,28,technician/engineer,M
59171,28,executive/managerial,M
35785,30,scientist,M
21913,22,executive/managerial,M
8422,27,technician/engineer,M
60043,29,college/grad student,M
7086,31,scientist,M
60969,24,other or not specified,M
57674,34,executive/managerial,M
24138,29,self-employed,M
59008,30,executive/managerial,M
58119,37,academic/educator,F
28560,31,homemaker,M
25994,34,scientist,M
52902,31,sales/marketing,M
40410,27,college/grad student,F
56021,29,college/grad student,F
2068,28,sales/marketing,F
64505,26,sales/marketing,M
16703,25,executive/managerial,M
49142,19,K-12 student,M
43481,33,self-employed,M
11214,29,executive/managerial,M
36935,30,executive/managerial,M
58273,28,executive/managerial,M
38887,34,college/grad student,M
8498,32,sales/marketing,M
29651,33,executive/managerial,F
19016,55,academic/educator,M
40788,30,college/grad student,F
44573,31,college/grad student,M
47971,34,executive/managerial,M
43406,27,retired,F
16206,31,college/grad student,M
31779,30,other or not specified,M
19246,33,college/grad student,F
16686,42,college/grad student,F
20161,26,sales/marketing,M
19114,28,scientist,M
58729,37,executive/managerial,M
52982,32,college/grad student,M
15784,28,other or not specified,M
42185,26,self-employed,F
16288,28,executive/managerial,M
28889,34,scientist,M
62987,41,sales/marketing,M
53151,34,executive/managerial,M
8085,33,sales/marketing,M
45690,30,executive/managerial,M
27759,28,scientist,M
9686,28,sales/marketing,F
33285,39,other or not specified,M
50633,25,executive/managerial,M
41857,28,scientist,M
45490,44,executive/managerial,F
2297,31,college/grad student,M
37689,21,scientist,M
53057,29,clerical/admin,M
44978,34,other or not specified,M
23075,26,self-employed,M
1657,28,sales/marketing,F
19688,31,sales/marketing,M
63499,13,self-employed,F
64241,29,self-employed,M
1941,28,scientist,M
7149,31,college/grad student,M
12998,33,scientist,M
54866,27,scientist,M
10982,33,executive/managerial,M
40285,32,clerical/admin,M
61578,26,executive/managerial,F
30684,29,college/grad student,M
28543,28,executive/managerial,M
58955,32,other or not specified,M
35846,27,homemaker,F
4708,31,college/grad student,M
55948,26,college/grad student,M
33995,26,sales/marketing,M
14330,33,self-employed,M
40621,27,executive/managerial,M
35941,34,sales/marketing,M
40116,34,academic/educator,M
5972,27,executive/managerial,F
43006,34,homemaker,M
65188,21,sales/marketing,M
45571,30,college/grad student,M
7966,28,scientist,M
28694,28,college/grad student,M
20979,29,college/grad student,M
17145,34,college/grad student,M
15634,34,self-employed,M
10644,34,college/grad student,M
30201,29,executive/managerial,M
62479,29,executive/managerial,M
47875,25,sales/marketing,M
30076,32,executive/managerial,M
23641,24,sales/marketing,M
65178,30,executive/managerial,M
13095,25,college/grad student,M
5913,26,technician/engineer,M
21732,27,programmer,M
40817,33,scientist,M
24502,59,retired,F
45484,25,college/grad student,M
18150,34,executive/managerial,M
27253,31,retired,M
53384,32,college/grad student,M
29052,18,artist,M
45375,34,college/grad student,F
22175,34,executive/managerial,M
53448,31,artist,M
30049,28,self-employed,M
3339,27,college/grad student,F
35208,18,sales/marketing,M
29781,28,scientist,M
21969,28,scientist,M
49396,25,executive/managerial,M
35095,22,sales/marketing,M
25999,25,college/grad student,F
4776,18,K-12 student,M
3302,31,executive/managerial,M
30888,25,executive/managerial,M
52603,21,sales/marketing,M
24760,29,executive/managerial,M
20049,31,college/grad student,M
50411,30,college/grad student,M
44725,30,executive/managerial,M
22779,19,homemaker,M
10668,32,executive/managerial,M
50403,44,executive/managerial,M
23959,34,college/grad student,M
61160,32,academic/educator,F
61566,55,technician/engineer,M
60831,26,college/grad student,F
54861,29,other or not specified,M
29837,25,executive/managerial,M
53639,28,executive/managerial,M
48522,31,academic/educator,M
2994,28,programmer,M
43822,28,college/grad student,M
21939,35,executive/managerial,F
64416,29,programmer,F
24353,25,academic/educator,F
27230,32,homemaker,F
50091,26,scientist,M
51171,31,executive/managerial,M
61077,21,K-12 student,F
57035,32,scientist,M
13828,26,artist,F
13762,26,academic/educator,F
42147,30,college/grad student,M
60543,33,executive/managerial,M
26551,30,executive/managerial,M
54030,31,college/grad student,M
49673,31,college/grad student,M
25223,26,scientist,F
38509,29,college/grad student,M
9642,29,college/grad student,M
10544,25,college/grad student,M
11645,26,scientist,M
23120,26,other or not specified,M
26464,29,executive/managerial,M
45526,31,executive/managerial,M
18023,33,executive/managerial,M
28496,31,other or not specified,M
56003,34,homemaker,F
16603,26,college/grad student,M
51058,27,college/grad student,M
15186,25,other or not specified,M
11911,30,college/grad student,M
20925,31,executive/managerial,M
44220,32,sales/marketing,M
41720,32,executive/managerial,M
18028,32,K-12 student,M
43646,38,doctor/health care,M
60915,21,K-12 student,M
9958,30,college/grad student,M
53650,29,K-12 student,M
7889,31,programmer,F
13293,28,sales/marketing,M
29437,32,college/grad student,F
31970,30,academic/educator,F
37592,29,technician/engineer,M
46891,27,sales/marketing,M
824,33,unemployed,M
41668,25,sales/marketing,M
37380,33,college/grad student,M
45652,25,college/grad student,M
50037,31,self-employed,M
19696,33,self-employed,M
60614,27,scientist,M
60920,28,college/grad student,M
34791,25,scientist,M
28691,29,other or not specified,F
20758,21,scientist,M
37189,34,executive/managerial,M
13167,26,executive/managerial,M
4062,43,executive/managerial,M
58772,30,executive/managerial,M
28991,28,college/grad student,M
19186,29,executive/managerial,F
8530,33,sales/marketing,F
25192,35,sales/marketing,M
29425,25,executive/managerial,M
16303,26,self-employed,F
42240,29,executive/managerial,M
58783,28,college/grad student,F
41505,25,college/grad student,M
44612,26,college/grad student,M
3998,32,college/grad student,M
40971,34,homemaker,M
20795,32,sales/marketing,M
33904,33,other or not specified,M
33266,35,academic/educator,M
34524,16,self-employed,M
47108,34,executive/managerial,M
24920,33,college/grad student,M
30628,26,self-employed,F
31728,31,self-employed,M
50288,29,executive/managerial,M
5418,28,clerical/admin,M
53099,28,executive/managerial,M
12384,21,college/grad student,M
60648,25,college/grad student,F
40751,33,technician/engineer,M
41382,31,scientist,M
48952,33,college/grad student,M
3767,29,technician/engineer,M
59377,25,executive/managerial,M
6829,28,college/grad student,F
13657,75,executive/managerial,F
55243,29,self-employed,M
6680,33,college/grad student,M
48227,28,executive/managerial,F
56286,34,other or not specified,M
8708,29,executive/managerial,M
20968,32,scientist,M
65598,34,college/grad student,M
26594,30,college/grad student,M
20674,35,executive/managerial,M
7095,28,executive/managerial,M
20005,25,executive/managerial,M
30754,21,sales/marketing,M
54148,25,self-employed,M
65383,30,college/grad student,M
4409,25,other or not specified,F
9168,27,programmer,M
7603,34,homemaker,M
11736,26,sales/marketing,F
41933,34,college/grad student,M
40101,25,self-employed,F
53393,29,artist,M
11151,26,college/grad student,M
22041,29,sales/marketing,M
47029,27,college/grad student,M
63423,34,other or not specified,F
8725,34,college/grad student,F
39556,25,clerical/admin,M
31471,29,college/grad student,M
1535,34,retired,M
38110,25,college/grad student,M
14553,33,executive/managerial,F
43939,26,other or not specified,M
64591,28,executive/managerial,M
31964,23,sales/marketing,M
59491,34,sales/marketing,M
61622,35,executive/managerial,F
16504,27,scientist,M
56398,26,college/grad student,F
13711,31,executive/managerial,M
22985,29,executive/managerial,M
28599,28,sales/marketing,F
49136,30,homemaker,M
62081,32,other or not specified,M
59234,26,executive/managerial,M
53520,34,executive/managerial,M
60613,30,executive/managerial,M
44812,29,self-employed,M
9736,29,sales/marketing,M
63686,31,technician/engineer,M
32169,27,college/grad student,M
48069,31,college/grad student,M
19284,32,sales/marketing,M
21944,29,scientist,M
540,28,scientist,M
24002,41,other or not specified,M
40209,31,sales/marketing,M
10907,28,K-12 student,M
59950,66,retired,M
27787,29,self-employed,F
46943,34,scientist,M
42813,33,college/grad student,M
59,90,retired,F
64666,32,college/grad student,M
43556,30,artist,M
14254,30,college/grad student,M
788,26,technician/engineer,M
59033,32,scientist,M
57738,33,executive/managerial,M
20952,25,homemaker,F
35491,32,sales/marketing,M
52064,26,executive/managerial,M
14456,34,sales/marketing,M
28100,31,scientist,F
26975,28,homemaker,M
34247,32,self-employed,F
65292,32,college/grad student,M
2506,33,artist,F
6014,31,executive/managerial,M
1019,29,self-employed,M
11515,30,sales/marketing,M
44394,29,executive/managerial,F
65988,25,college/grad student,M
58892,30,self-employed,F
42026,21,homemaker,F
4133,24,sales/marketing,M
29332,29,executive/managerial,M
24177,34,college/grad student,M
1233,34,executive/managerial,M
10064,25,academic/educator,F
9190,34,executive/managerial,M
26996,34,executive/managerial,M
23083,30,scientist,M
65913,33,scientist,M
30901,31,college/grad student,F
25128,30,sales/marketing,M
6860,29,sales/marketing,M
27680,33,sales/marketing,M
26745,69,executive/managerial,F
62160,29,sales/marketing,M
27056,28,self-employed,M
57809,37,executive/managerial,F
4811,18,K-12 student,M
6305,31,executive/managerial,F
21200,25,scientist,M
55776,32,college/grad student,M
7201,41,writer,M
28572,34,academic/educator,F
40652,32,sales/marketing,M
44544,32,college/grad student,M
1203,32,executive/managerial,M
9458,18,scientist,M
31321,29,sales/marketing,M
64609,29,executive/managerial,M
31494,30,self-employed,M
39970,26,self-employed,F
65770,22,college/grad student,M
29421,20,homemaker,M
25629,25,college/grad student,M
28854,34,college/grad student,M
16063,12,K-12 student,M
18077,25,scientist,M
37496,28,college/grad student,M
35068,32,executive/managerial,M
2951,25,college/grad student,F
50296,33,executive/managerial,M
32514,32,self-employed,M
65134,29,scientist,M
26058,61,retired,F
30870,33,sales/marketing,M
20980,26,college/grad student,M
24404,22,self-employed,M
26164,44,sales/marketing,M
13816,25,programmer,M
51344,33,sales/marketing,M
34526,27,other or not specified,M
37792,33,self-employed,M
60804,30,executive/managerial,M
58066,31,technician/engineer,M
55217,33,college/grad student,F
36886,32,clerical/admin,M
47799,25,scientist,F
23064,29,sales/marketing,M
57841,32,college/grad student,M
63929,28,executive/managerial,M
60448,26,executive/managerial,M
